timestamp,zone_id,temperature,gas_level,vibration,pressure,noise_level,machine_status,risk_label
2026-06-21 02:28:14.664903,Zone-A,51.1,46.84,3.57,4.06,80.5,Running,High
2026-06-21 02:33:14.664903,Chemical Storage,42.27,41.47,1.67,5.52,79.6,Running,Low
2026-06-21 02:38:14.664903,Chemical Storage,39.85,71.63,3.94,5.65,73.79,Running,High
2026-06-21 02:43:14.664903,Assembly Point,29.82,14.18,1.6,5.81,51.93,Running,Low
2026-06-21 02:48:14.664903,Chemical Storage,34.64,71.07,2.88,3.92,70.99,Running,High
2026-06-21 02:53:14.664903,Zone-A,37.08,45.55,2.72,7.34,82.44,Running,Low
2026-06-21 02:58:14.664903,Zone-A,32.69,55.23,2.55,5.09,81.53,Running,Low
2026-06-21 03:03:14.664903,Zone-B,31.33,29.3,2.22,6.57,77.83,Warning,Medium
2026-06-21 03:08:14.664903,Chemical Storage,47.61,70.39,0.98,4.52,84.87,Running,High
2026-06-21 03:13:14.664903,Zone-B,36.87,23.88,2.93,1.56,67.83,Warning,Low
2026-06-21 03:18:14.664903,Furnace Area,57.16,10.84,4.97,6.13,98.09,Running,Medium
2026-06-21 03:23:14.664903,Zone-C,34.05,28.22,4.55,5.7,77.8,Running,Low
2026-06-21 03:28:14.664903,Zone-C,34.57,47.95,5.9,4.26,96.93,Running,Low
2026-06-21 03:33:14.664903,Zone-B,35.94,38.37,2.25,4.59,71.55,Warning,Low
2026-06-21 03:38:14.664903,Chemical Storage,38.79,49.69,3.88,5.31,81.69,Running,Low
2026-06-21 03:43:14.664903,Zone-B,30.2,43.97,3.73,6.83,75.82,Warning,Low
2026-06-21 03:48:14.664903,Zone-A,51.58,42.57,3.24,6.3,83.78,Running,Medium
2026-06-21 03:53:14.664903,Chemical Storage,37.11,66.18,5.69,5.32,75.09,Running,Medium
2026-06-21 03:58:14.664903,Zone-B,28.91,60.11,1.79,3.59,83.11,Warning,Low
2026-06-21 04:03:14.664903,Zone-C,37.14,39.85,2.92,5.58,77.26,Running,Low
2026-06-21 04:08:14.664903,Assembly Point,26.87,16.14,2.0,2.94,59.24,Running,Low
2026-06-21 04:13:14.664903,Zone-A,33.47,39.35,3.78,3.75,68.15,Running,Low
2026-06-21 04:18:14.664903,Zone-B,34.55,77.37,4.03,4.64,74.87,Warning,Medium
2026-06-21 04:23:14.664903,Furnace Area,47.56,31.87,4.51,6.52,98.73,Running,Low
2026-06-21 04:28:14.664903,Chemical Storage,40.45,53.19,3.07,5.01,76.68,Running,Low
2026-06-21 04:33:14.664903,Zone-C,36.49,86.05,5.15,7.65,76.63,Running,Medium
2026-06-21 04:38:14.664903,Chemical Storage,65.6,48.3,1.79,4.4,61.13,Running,Medium
2026-06-21 04:43:14.664903,Furnace Area,49.75,32.1,7.75,6.95,83.96,Stopped,Critical
2026-06-21 04:48:14.664903,Zone-B,26.4,56.98,4.42,4.33,63.01,Stopped,Low
2026-06-21 04:53:14.664903,Furnace Area,55.19,8.87,4.78,6.01,88.33,Running,Critical
2026-06-21 04:58:14.664903,Zone-A,30.66,43.29,3.64,5.71,82.98,Running,Low
2026-06-21 05:03:14.664903,Assembly Point,37.39,23.99,3.86,5.05,65.81,Running,Low
2026-06-21 05:08:14.664903,Zone-B,43.3,56.06,2.7,5.77,79.52,Stopped,Medium
2026-06-21 05:13:14.664903,Furnace Area,52.43,40.7,3.39,4.82,73.73,Running,High
2026-06-21 05:18:14.664903,Furnace Area,56.51,28.89,7.45,4.62,76.08,Running,Medium
2026-06-21 05:23:14.664903,Zone-C,51.1,15.19,3.89,4.2,86.69,Running,Low
2026-06-21 05:28:14.664903,Chemical Storage,34.43,45.29,2.72,5.96,69.1,Running,Low
2026-06-21 05:33:14.664903,Zone-B,29.04,33.72,1.76,4.25,66.61,Warning,Low
2026-06-21 05:38:14.664903,Chemical Storage,33.5,60.57,2.67,4.78,80.3,Running,Medium
2026-06-21 05:43:14.664903,Furnace Area,46.12,24.7,2.74,4.48,97.57,Running,High
2026-06-21 05:48:14.664903,Chemical Storage,39.88,97.37,6.49,6.12,75.1,Running,High
2026-06-21 05:53:14.664903,Furnace Area,50.02,18.92,3.79,5.35,80.43,Running,Low
2026-06-21 05:58:14.664903,Chemical Storage,36.96,75.76,2.89,4.14,86.66,Running,High
2026-06-21 06:03:14.664903,Chemical Storage,36.05,83.41,1.14,5.93,89.37,Running,High
2026-06-21 06:08:14.664903,Zone-A,32.75,39.15,2.79,4.34,78.34,Running,Low
2026-06-21 06:13:14.664903,Furnace Area,66.8,25.13,4.41,5.42,93.29,Running,Medium
2026-06-21 06:18:14.664903,Zone-C,34.5,49.02,2.0,6.04,77.36,Running,Low
2026-06-21 06:23:14.664903,Assembly Point,21.98,5.0,1.56,3.76,58.67,Running,Low
2026-06-21 06:28:14.664903,Zone-A,54.32,30.47,2.72,5.25,71.98,Running,High
2026-06-21 06:33:14.664903,Assembly Point,28.12,30.03,0.5,4.03,75.09,Running,Low
2026-06-21 06:38:14.664903,Chemical Storage,39.89,55.56,3.25,4.4,76.61,Running,Low
2026-06-21 06:43:14.664903,Zone-A,37.27,49.05,3.01,4.71,74.97,Running,Low
2026-06-21 06:48:14.664903,Furnace Area,50.45,52.9,6.55,5.67,96.41,Running,Critical
2026-06-21 06:53:14.664903,Chemical Storage,31.96,35.55,5.89,5.02,87.74,Running,Medium
2026-06-21 06:58:14.664903,Zone-C,38.15,13.47,7.35,6.27,71.65,Warning,Low
2026-06-21 07:03:14.664903,Chemical Storage,,65.59,9.29,5.18,77.74,Warning,Medium
2026-06-21 07:08:14.664903,Zone-C,38.15,29.73,4.09,5.02,85.35,Running,Low
2026-06-21 07:13:14.664903,Zone-C,31.45,36.76,2.83,5.06,84.64,Running,Medium
2026-06-21 07:18:14.664903,Chemical Storage,41.35,74.27,3.3,6.88,70.58,Running,High
2026-06-21 07:23:14.664903,Assembly Point,38.48,27.85,1.43,3.78,57.12,Running,Low
2026-06-21 07:28:14.664903,Assembly Point,31.55,28.71,2.08,3.72,59.47,Running,Low
2026-06-21 07:33:14.664903,Zone-A,42.73,64.12,2.89,4.21,77.12,Running,Low
2026-06-21 07:38:14.664903,Assembly Point,22.54,38.35,,3.07,57.92,Running,Low
2026-06-21 07:43:14.664903,Zone-B,33.37,19.52,1.45,4.46,,Warning,Low
2026-06-21 07:48:14.664903,Chemical Storage,45.92,54.73,0.5,4.95,74.38,Running,Medium
2026-06-21 07:53:14.664903,Zone-A,41.63,41.77,5.07,7.77,78.41,Running,Low
2026-06-21 07:58:14.664903,Zone-B,33.99,68.93,,4.25,74.77,Running,Low
2026-06-21 08:03:14.664903,Zone-C,34.53,36.94,5.8,2.85,89.64,Running,High
2026-06-21 08:08:14.664903,Zone-A,34.29,40.54,1.81,4.42,70.23,Running,Low
2026-06-21 08:13:14.664903,Zone-C,40.36,48.66,2.65,4.98,85.43,Running,Low
2026-06-21 08:18:14.664903,Furnace Area,47.8,23.5,6.35,6.44,85.47,Running,Low
2026-06-21 08:23:14.664903,Zone-B,36.08,42.12,2.63,5.13,66.24,Running,Low
2026-06-21 08:28:14.664903,Zone-A,33.39,57.59,2.65,3.79,67.1,Running,Low
2026-06-21 08:33:14.664903,Zone-B,41.77,10.02,5.04,5.01,74.32,Running,Medium
2026-06-21 08:38:14.664903,Furnace Area,48.81,41.24,5.64,6.15,85.45,Running,High
2026-06-21 08:43:14.664903,Zone-A,27.45,28.82,4.39,5.37,76.71,Running,Low
2026-06-21 08:48:14.664903,Furnace Area,46.3,18.66,5.74,7.29,90.86,Running,Medium
2026-06-21 08:53:14.664903,Zone-C,36.36,43.07,5.18,7.17,89.1,Running,Low
2026-06-21 08:58:14.664903,Zone-A,32.88,45.31,4.12,4.47,79.31,Running,Low
2026-06-21 09:03:14.664903,Assembly Point,35.54,8.92,0.5,2.52,72.38,Running,Low
2026-06-21 09:08:14.664903,Furnace Area,51.47,30.22,4.47,6.7,83.97,Running,High
2026-06-21 09:13:14.664903,Furnace Area,62.47,41.79,4.66,8.27,100.4,Running,Critical
2026-06-21 09:18:14.664903,Zone-B,36.54,28.25,3.76,5.77,79.35,Warning,Low
2026-06-21 09:23:14.664903,Chemical Storage,45.95,94.35,3.54,5.18,66.65,Running,Critical
2026-06-21 09:28:14.664903,Zone-C,36.8,52.97,5.0,5.96,81.51,Running,Low
2026-06-21 09:33:14.664903,Chemical Storage,38.04,61.26,1.27,3.92,83.37,Running,Medium
2026-06-21 09:38:14.664903,Zone-B,33.14,35.36,7.4,4.28,75.67,Warning,Critical
2026-06-21 09:43:14.664903,Chemical Storage,35.45,60.67,2.23,6.26,69.74,Running,Low
2026-06-21 09:48:14.664903,Furnace Area,56.23,30.36,6.74,4.51,89.87,Running,High
2026-06-21 09:53:14.664903,Furnace Area,54.33,21.79,7.19,8.3,85.46,Stopped,High
2026-06-21 09:58:14.664903,Zone-A,57.59,67.96,3.0,4.92,68.59,Running,Critical
2026-06-21 10:03:14.664903,Zone-C,30.16,39.58,4.28,7.05,75.01,Running,Low
2026-06-21 10:08:14.664903,Furnace Area,48.75,36.1,4.15,6.38,89.17,Running,Low
2026-06-21 10:13:14.664903,Assembly Point,43.28,12.35,0.86,2.88,61.11,Running,Low
2026-06-21 10:18:14.664903,Furnace Area,56.1,21.15,4.5,6.47,84.13,Running,High
2026-06-21 10:23:14.664903,Zone-B,25.42,53.57,5.16,4.19,72.29,Warning,Low
2026-06-21 10:28:14.664903,Furnace Area,52.29,52.12,5.29,5.2,78.34,Running,Medium
2026-06-21 10:33:14.664903,Zone-A,44.97,38.79,3.77,5.18,86.32,Running,Low
2026-06-21 10:38:14.664903,Chemical Storage,34.55,70.53,3.62,9.16,80.09,Running,Critical
2026-06-21 10:43:14.664903,Zone-B,38.54,44.85,3.61,5.87,83.19,Running,Low
2026-06-21 10:48:14.664903,Chemical Storage,36.16,59.76,4.25,4.18,78.58,Running,Low
2026-06-21 10:53:14.664903,Zone-A,42.39,74.58,3.56,3.84,83.22,Running,High
2026-06-21 10:58:14.664903,Zone-B,31.46,37.63,3.3,6.38,74.33,Stopped,Low
2026-06-21 11:03:14.664903,Zone-B,33.93,29.64,3.23,5.87,67.81,Warning,Medium
2026-06-21 11:08:14.664903,Zone-A,41.98,26.72,2.83,5.58,88.96,Running,Low
2026-06-21 11:13:14.664903,Chemical Storage,46.41,40.62,0.5,5.44,72.49,Running,Medium
2026-06-21 11:18:14.664903,Assembly Point,32.22,13.23,0.5,4.37,69.55,Running,Low
2026-06-21 11:23:14.664903,Zone-B,27.65,16.69,2.17,4.75,76.7,Warning,Low
2026-06-21 11:28:14.664903,Assembly Point,24.74,37.33,1.4,4.62,67.4,Running,Low
2026-06-21 11:33:14.664903,Zone-A,38.24,52.71,5.09,5.4,82.96,Running,Low
2026-06-21 11:38:14.664903,Zone-B,29.62,85.01,2.95,3.37,75.9,Stopped,Medium
2026-06-21 11:43:14.664903,Zone-A,32.74,39.65,1.23,7.1,61.03,Running,Low
2026-06-21 11:48:14.664903,Furnace Area,68.19,33.11,4.34,5.95,87.97,Running,Medium
2026-06-21 11:53:14.664903,Zone-C,38.39,37.35,4.03,5.71,67.71,Running,Low
2026-06-21 11:58:14.664903,Zone-B,27.99,31.63,5.16,5.44,71.0,Running,Low
2026-06-21 12:03:14.664903,Zone-B,37.62,35.72,2.22,5.5,77.75,Warning,Low
2026-06-21 12:08:14.664903,Zone-A,41.25,62.61,5.08,5.4,92.53,Running,Medium
2026-06-21 12:13:14.664903,Chemical Storage,37.99,50.18,2.22,4.68,78.97,Running,Low
2026-06-21 12:18:14.664903,Zone-B,32.88,60.71,5.07,5.24,75.27,Stopped,Low
2026-06-21 12:23:14.664903,Zone-B,27.89,31.91,1.0,5.2,79.53,Stopped,Low
2026-06-21 12:28:14.664903,Furnace Area,42.87,10.43,5.77,7.05,99.79,Running,High
2026-06-21 12:33:14.664903,Chemical Storage,36.81,55.93,3.86,5.65,64.97,Running,Medium
2026-06-21 12:38:14.664903,Chemical Storage,33.87,,3.39,5.26,72.15,Running,Critical
2026-06-21 12:43:14.664903,Chemical Storage,42.86,64.52,2.36,5.77,56.06,Running,Medium
2026-06-21 12:48:14.664903,Zone-A,34.19,31.56,1.95,6.36,74.73,Running,Low
2026-06-21 12:53:14.664903,Furnace Area,63.25,28.92,3.96,7.0,,Running,Low
2026-06-21 12:58:14.664903,Chemical Storage,44.5,68.2,2.38,4.65,73.75,Running,Low
2026-06-21 13:03:14.664903,Zone-C,36.15,52.36,4.29,5.24,80.63,Running,Low
2026-06-21 13:08:14.664903,Zone-C,37.64,40.62,4.88,5.42,82.55,Running,Low
2026-06-21 13:13:14.664903,Chemical Storage,38.73,69.98,0.5,7.09,75.02,Running,Low
2026-06-21 13:18:14.664903,Zone-A,39.06,32.36,2.75,7.11,76.67,Running,Medium
2026-06-21 13:23:14.664903,Zone-C,36.48,41.81,4.44,,81.6,Running,Low
2026-06-21 13:28:14.664903,Assembly Point,36.53,63.56,2.27,2.36,76.43,Running,Low
2026-06-21 13:33:14.664903,Furnace Area,45.23,27.23,8.14,6.32,90.95,Warning,Critical
2026-06-21 13:38:14.664903,Assembly Point,29.78,31.57,2.93,2.27,69.18,Running,Low
2026-06-21 13:43:14.664903,Zone-A,42.88,43.2,3.65,5.03,78.11,Running,Medium
2026-06-21 13:48:14.664903,Furnace Area,56.97,17.84,8.04,3.85,83.53,Warning,Medium
2026-06-21 13:53:14.664903,Zone-C,39.05,69.52,6.7,6.48,79.73,Running,Low
2026-06-21 13:58:14.664903,Chemical Storage,30.05,38.26,6.91,7.44,85.69,Running,Low
2026-06-21 14:03:14.664903,Zone-B,37.27,44.11,3.34,4.9,74.56,Warning,Low
2026-06-21 14:08:14.664903,Zone-A,27.54,43.82,2.31,4.1,79.26,Running,Low
2026-06-21 14:13:14.664903,Furnace Area,41.15,16.12,6.63,5.02,86.43,Running,Low
2026-06-21 14:18:14.664903,Zone-A,36.53,28.99,2.78,5.52,66.85,Running,Low
2026-06-21 14:23:14.664903,Zone-B,50.71,37.69,4.64,4.93,71.99,Stopped,Low
2026-06-21 14:28:14.664903,Zone-A,36.24,45.49,2.66,4.54,68.18,Running,Low
2026-06-21 14:33:14.664903,Furnace Area,45.54,19.38,6.57,5.71,96.73,Running,Medium
2026-06-21 14:38:14.664903,Furnace Area,44.82,53.74,4.07,6.31,92.44,Running,Low
2026-06-21 14:43:14.664903,Chemical Storage,36.35,58.53,4.7,5.96,91.47,Running,Medium
2026-06-21 14:48:14.664903,Zone-A,35.56,75.96,2.54,6.84,89.74,Running,High
2026-06-21 14:53:14.664903,Furnace Area,57.14,23.45,5.26,5.42,80.9,Running,Medium
2026-06-21 14:58:14.664903,Assembly Point,31.17,10.76,1.78,1.94,67.32,Running,Low
2026-06-21 15:03:14.664903,Zone-B,34.87,49.73,1.55,6.47,77.93,Stopped,Low
2026-06-21 15:08:14.664903,Furnace Area,51.79,28.91,6.15,5.08,89.19,Running,Low
2026-06-21 15:13:14.664903,Zone-B,28.48,26.17,4.48,5.89,79.26,Stopped,Medium
2026-06-21 15:18:14.664903,Chemical Storage,43.07,59.7,5.58,5.39,77.34,Running,Medium
2026-06-21 15:23:14.664903,Assembly Point,30.24,28.5,2.65,2.71,55.68,Running,Low
2026-06-21 15:28:14.664903,Furnace Area,43.48,5.0,5.97,8.49,87.96,Running,Medium
2026-06-21 15:33:14.664903,Assembly Point,30.51,31.03,1.15,,,Running,Low
2026-06-21 15:38:14.664903,Assembly Point,30.13,10.93,2.14,2.6,65.2,Running,Low
2026-06-21 15:43:14.664903,Chemical Storage,39.37,57.7,3.78,6.39,79.9,Running,Low
2026-06-21 15:48:14.664903,Zone-C,28.67,36.34,3.27,5.31,82.4,Running,Low
2026-06-21 15:53:14.664903,Chemical Storage,39.43,58.77,0.5,4.06,74.99,Running,Low
2026-06-21 15:58:14.664903,Chemical Storage,44.65,72.63,2.54,6.49,77.04,Running,High
2026-06-21 16:03:14.664903,Zone-C,32.49,35.34,4.2,5.66,82.02,Running,Low
2026-06-21 16:08:14.664903,Zone-A,40.75,27.18,0.5,9.05,68.43,Running,Medium
2026-06-21 16:13:14.664903,Assembly Point,21.99,,2.41,2.92,46.86,Running,Medium
2026-06-21 16:18:14.664903,Assembly Point,23.61,53.56,1.48,4.08,65.84,Running,Medium
2026-06-21 16:23:14.664903,Furnace Area,48.21,27.67,4.38,5.56,81.81,Running,Medium
2026-06-21 16:28:14.664903,Chemical Storage,30.14,38.64,4.57,4.79,71.32,Running,Low
2026-06-21 16:33:14.664903,Zone-A,45.13,53.14,2.91,7.36,73.76,Running,Medium
2026-06-21 16:38:14.664903,Zone-A,56.35,63.74,3.54,4.45,81.22,Running,Medium
2026-06-21 16:43:14.664903,Furnace Area,49.68,23.62,7.96,4.65,81.2,Stopped,Medium
2026-06-21 16:48:14.664903,Assembly Point,25.77,26.44,2.92,4.22,71.97,Running,Low
2026-06-21 16:53:14.664903,Assembly Point,38.51,16.13,1.2,4.83,68.89,Running,Low
2026-06-21 16:58:14.664903,Zone-C,30.78,51.13,4.07,5.77,92.7,Running,Low
2026-06-21 17:03:14.664903,Chemical Storage,42.36,53.62,4.92,3.96,62.24,Running,Low
2026-06-21 17:08:14.664903,Furnace Area,47.89,24.68,5.87,6.82,94.02,Running,High
2026-06-21 17:13:14.664903,Zone-C,35.41,37.02,5.93,5.99,87.14,Running,Low
2026-06-21 17:18:14.664903,Chemical Storage,50.09,67.53,6.13,4.35,72.3,Running,Critical
2026-06-21 17:23:14.664903,Assembly Point,31.11,51.89,3.54,,83.21,Running,Low
2026-06-21 17:28:14.664903,Zone-C,37.77,44.57,5.55,6.17,81.03,Running,Medium
2026-06-21 17:33:14.664903,Chemical Storage,32.75,51.03,3.51,6.67,78.76,Running,Low
2026-06-21 17:38:14.664903,Zone-B,38.98,27.68,2.84,4.81,69.51,Stopped,Low
2026-06-21 17:43:14.664903,Chemical Storage,39.1,47.35,2.28,5.72,73.39,Running,Low
2026-06-21 17:48:14.664903,Furnace Area,50.12,39.19,6.21,4.24,77.32,Running,Low
2026-06-21 17:53:14.664903,Chemical Storage,64.18,51.23,3.02,6.54,90.04,Running,Medium
2026-06-21 17:58:14.664903,Assembly Point,36.12,27.11,2.43,2.95,59.27,Running,Low
2026-06-21 18:03:14.664903,Zone-B,30.73,43.36,4.15,4.89,85.34,Warning,Low
2026-06-21 18:08:14.664903,Assembly Point,27.42,5.0,1.4,3.38,75.59,Running,Low
2026-06-21 18:13:14.664903,Assembly Point,40.27,34.65,2.2,3.27,58.28,Running,Low
2026-06-21 18:18:14.664903,Zone-B,42.42,53.52,2.41,3.68,75.99,Stopped,Medium
2026-06-21 18:23:14.664903,Furnace Area,48.26,22.41,3.59,6.51,84.27,Running,Low
2026-06-21 18:28:14.664903,Chemical Storage,36.86,79.27,7.54,,71.78,Running,Critical
2026-06-21 18:33:14.664903,Chemical Storage,38.51,67.19,4.27,,74.57,Running,Medium
2026-06-21 18:38:14.664903,Zone-B,31.87,39.41,4.1,4.0,85.45,Warning,Low
2026-06-21 18:43:14.664903,Zone-B,29.26,5.91,4.06,5.54,73.03,Warning,Low
2026-06-21 18:48:14.664903,Assembly Point,23.19,13.65,2.45,2.25,67.05,Running,Low
2026-06-21 18:53:14.664903,Zone-C,33.82,57.9,8.51,4.77,76.33,Stopped,Medium
2026-06-21 18:58:14.664903,Zone-B,27.92,35.74,3.51,5.49,76.24,Warning,Low
2026-06-21 19:03:14.664903,Chemical Storage,37.43,45.13,0.5,5.44,82.33,Running,Low
2026-06-21 19:08:14.664903,Zone-C,37.1,64.69,4.02,4.77,80.72,Running,Low
2026-06-21 19:13:14.664903,Chemical Storage,33.0,52.21,1.66,5.12,87.37,Running,Low
2026-06-21 19:18:14.664903,Furnace Area,47.54,41.99,6.56,5.92,86.74,Running,Low
2026-06-21 19:23:14.664903,Zone-C,30.24,34.88,5.38,8.42,71.93,Running,Low
2026-06-21 19:28:14.664903,Chemical Storage,46.37,70.96,2.26,6.28,76.47,Running,High
2026-06-21 19:33:14.664903,Zone-C,29.77,32.28,5.24,5.17,79.17,Running,Low
2026-06-21 19:38:14.664903,Chemical Storage,47.31,45.19,2.83,6.41,75.44,Running,Low
2026-06-21 19:43:14.664903,Zone-A,38.14,42.75,4.68,6.39,96.13,Running,Low
2026-06-21 19:48:14.664903,Assembly Point,31.97,15.76,1.91,3.2,66.18,Running,Low
2026-06-21 19:53:14.664903,Zone-B,38.7,50.81,2.86,2.68,70.75,Warning,Medium
2026-06-21 19:58:14.664903,Zone-B,28.0,28.94,4.01,5.35,73.33,Running,Low
2026-06-21 20:03:14.664903,Furnace Area,44.39,47.38,5.11,7.22,98.65,Running,Medium
2026-06-21 20:08:14.664903,Assembly Point,33.02,54.62,0.5,3.82,56.75,Running,Low
2026-06-21 20:13:14.664903,Furnace Area,50.01,31.4,5.19,8.86,84.68,Running,High
2026-06-21 20:18:14.664903,Assembly Point,31.63,43.27,0.5,2.82,68.6,Running,Low
2026-06-21 20:23:14.664903,Zone-B,35.45,42.62,4.33,5.21,73.31,Stopped,Low
2026-06-21 20:28:14.664903,Zone-A,35.34,33.31,4.83,5.08,62.79,Running,Low
2026-06-21 20:33:14.664903,Furnace Area,62.09,31.98,5.73,6.71,84.95,Running,Medium
2026-06-21 20:38:14.664903,Zone-B,36.69,42.38,1.88,5.89,71.25,Warning,Low
2026-06-21 20:43:14.664903,Zone-A,45.19,42.32,3.08,5.18,75.88,Running,Low
2026-06-21 20:48:14.664903,Zone-B,27.73,22.19,4.14,6.51,74.27,Warning,Low
2026-06-21 20:53:14.664903,Zone-A,41.81,33.87,3.79,6.18,81.51,Running,Low
2026-06-21 20:58:14.664903,Chemical Storage,23.48,66.13,2.02,3.17,79.58,Running,Low
2026-06-21 21:03:14.664903,Assembly Point,35.76,39.35,3.08,5.14,70.19,Running,Low
2026-06-21 21:08:14.664903,Zone-C,32.77,29.88,6.61,5.32,82.86,Running,Low
2026-06-21 21:13:14.664903,Chemical Storage,45.48,50.53,3.03,4.26,66.76,Running,Low
2026-06-21 21:18:14.664903,Chemical Storage,34.85,49.69,1.11,4.92,65.47,Running,Low
2026-06-21 21:23:14.664903,Zone-C,26.71,36.29,3.1,5.82,91.38,Running,Medium
2026-06-21 21:28:14.664903,Chemical Storage,36.2,105.43,3.06,4.25,73.77,Running,Critical
2026-06-21 21:33:14.664903,Furnace Area,68.95,50.81,5.43,5.29,77.4,Running,Medium
2026-06-21 21:38:14.664903,Zone-C,35.34,46.1,,6.4,78.62,Running,Low
2026-06-21 21:43:14.664903,Zone-B,37.48,31.78,1.93,2.65,69.97,Warning,Medium
2026-06-21 21:48:14.664903,Zone-C,33.34,,3.73,4.85,83.18,Running,Low
2026-06-21 21:53:14.664903,Zone-B,40.05,33.82,3.02,5.51,76.63,Stopped,Low
2026-06-21 21:58:14.664903,Zone-B,29.94,39.34,1.63,4.91,74.77,Warning,Medium
2026-06-21 22:03:14.664903,Chemical Storage,27.59,51.42,2.91,5.16,68.81,Running,Low
2026-06-21 22:08:14.664903,Zone-B,37.85,40.13,2.22,6.58,66.64,Stopped,Low
2026-06-21 22:13:14.664903,Zone-C,30.65,56.71,3.7,5.79,83.82,Running,Low
2026-06-21 22:18:14.664903,Chemical Storage,40.97,37.02,4.37,3.34,83.23,Running,Low
2026-06-21 22:23:14.664903,Furnace Area,46.95,14.73,5.24,5.69,93.46,Running,Medium
2026-06-21 22:28:14.664903,Furnace Area,46.19,25.49,3.48,5.19,94.75,Running,High
2026-06-21 22:33:14.664903,Zone-A,33.04,44.68,3.84,4.39,80.97,Running,Low
2026-06-21 22:38:14.664903,Furnace Area,51.73,28.08,4.98,5.89,87.38,Running,High
2026-06-21 22:43:14.664903,Zone-A,43.99,51.73,3.15,5.9,75.66,Running,Low
2026-06-21 22:48:14.664903,Chemical Storage,36.46,63.37,4.43,3.87,67.64,Running,Low
2026-06-21 22:53:14.664903,Zone-A,47.16,52.66,4.1,3.4,74.2,Running,Low
2026-06-21 22:58:14.664903,Furnace Area,48.16,22.33,3.12,6.75,80.49,Running,Low
2026-06-21 23:03:14.664903,Chemical Storage,32.4,27.64,2.46,6.1,89.71,Running,Low
2026-06-21 23:08:14.664903,Zone-C,31.67,38.73,7.17,4.0,83.78,Warning,Medium
2026-06-21 23:13:14.664903,Furnace Area,49.49,31.7,5.03,6.27,85.6,Running,Low
2026-06-21 23:18:14.664903,Zone-B,34.89,34.65,4.35,4.75,62.59,Running,Low
2026-06-21 23:23:14.664903,Chemical Storage,33.73,50.85,4.45,2.86,97.96,Running,Medium
2026-06-21 23:28:14.664903,Chemical Storage,36.73,61.43,3.43,5.65,79.89,Running,Low
2026-06-21 23:33:14.664903,Zone-C,33.24,37.66,5.36,6.09,61.42,Running,Low
2026-06-21 23:38:14.664903,Chemical Storage,36.91,53.34,7.7,5.95,70.59,Stopped,Low
